text,sentiment
الصفقة سريع,ايجابي
زمن التسليم كان سيئ للغاية,سلبي
خدمة العملاء ممتاز جداً كتير,ايجابي
لن أشتري التطبيق مرة أخرى,سلبي
جودة التصميم كارثي,سلبي
أداء الصفقة ممتاز,ايجابي
خدمة العملاء مقبول بشكل عام,محايد
التجربة جيد إلى حدٍّ كبير,ايجابي
جودة المنصة كارثي,سلبي
المنتج مقبول بشكل عام,محايد
تجربة التحديث سيئة,سلبي
الشحن فاشل,سلبي
جودة واجهة المستخدم سئ,سلبي
تجربة التغليف سيئة,سلبي
سأشتري التحديث مرة أخرى,ايجابي
التحديث عادي,محايد
جودة الصفقة جيد,ايجابي
المنتج كان معقّد,سلبي
الشركة يستحق السعر,ايجابي
الواجهة ممتاز للسعر,ايجابي
الصفقة ممتاز جداً كتير,ايجابي
جودة التصنيع ليس جيداً,سلبي
تجربة البائع متوسطة,محايد
الحزمة ممتاز للسعر,ايجابي
جودة الدعم سيئ,سلبي
الجودة كان عادي,محايد
الاتصال كان مريح,ايجابي
واجهة المستخدم كان عادي,محايد
جودة التصميم ممتاز,ايجابي
الواجهة ممتاز للسعر,ايجابي
لا أنصح بـ الشركة,سلبي
الواجهة ممتاز للسعر,ايجابي
التحديث فاشل مرة,سلبي
جودة المنصة جيد,ايجابي
لم أجرب الدعم بعد,محايد
البطارية كان سيئ للغاية,سلبي
جودة التحديث متين,ايجابي
الشحن ممتاز للسعر,ايجابي
جودة الدعم قوي,ايجابي
زمن التسليم رائع,ايجابي
جودة واجهة المستخدم كارثي,سلبي
التصميم كان مقبول,محايد
التحديث جميل قوي,ايجابي
جودة التصنيع سيء,سلبي
زمن التسليم عادي,محايد
لا أستطيع الحكم على الشركة الآن,محايد
الواجهة ممتاز قوي,ايجابي
جودة خدمة العملاء ضعيف,سلبي
خدمة الدعم ممتازة,ايجابي
الحزمة جيد,ايجابي
لم أجرب جودة التصنيع بعد,محايد
المنصة رديء جداً,سلبي
البائع كان لا بأس,محايد
زمن التسليم عادي,محايد
البطارية جيد قوي,ايجابي
البطارية مخيّب بشكل كبير,سلبي
جودة التصنيع ليس جيداً,سلبي
سأشتري الخدمة مرة أخرى,ايجابي
الحزمة محترف,ايجابي
السعر مريح كتير,ايجابي
الواجهة كان رائع,ايجابي
خدمة الواجهة ممتازة,ايجابي
جودة جودة التصنيع سئ,سلبي
الدعم كان مقبول,محايد
واجهة المستخدم محترف,ايجابي
الواجهة مقبول بشكل عام,محايد
زمن التسليم ليس جيداً,سلبي
الجودة يعلّق كثيراً,سلبي
الشحن متوسط,محايد
جودة الشحن سئ,سلبي
البائع عادي,محايد
الصفقة كان كارثي,سلبي
جودة التصنيع قوي للغاية,ايجابي
المتجر ممتاز للسعر,ايجابي
الشحن فاشل,سلبي
البائع كان جميل,ايجابي
لا أستطيع الحكم على الخدمة الآن,محايد
التحديث بطيء للغاية,سلبي
زمن التسليم مقبول بشكل عام,محايد
التطبيق ليس جيداً,سلبي
المنتج ممتاز للسعر,ايجابي
البائع مقبول بشكل عام,محايد
البائع كان سيئ للغاية,سلبي
الصفقة ليس جيداً,سلبي
جودة الحزمة متين,ايجابي
التغليف مفيد إلى حدٍّ كبير,ايجابي
الشحن ليس جيداً,سلبي
المتجر خيالي كتير,ايجابي
المتجر مناسب,محايد
الشحن ممتاز للسعر,ايجابي
جودة البائع فعّال,ايجابي
التجربة كان طبيعي,محايد
البطارية جيد تماماً,ايجابي
جودة التجربة سيء,سلبي
الاتصال ممتاز للسعر,ايجابي
الاتصال ليس جيداً,سلبي
زمن التسليم مقبول بشكل عام,محايد
الحزمة كارثي,سلبي
واجهة المستخدم ضعيف,سلبي
المنتج مقبول بشكل عام,محايد
الدعم ليس جيداً,سلبي
التصميم مقبول,محايد
واجهة المستخدم ممتاز للسعر,ايجابي
المتجر عادي,محايد
جودة واجهة المستخدم سئ,سلبي
جودة المنصة مخيّب,سلبي
زمن التسليم عادي,محايد
الجودة بطيء جداً,سلبي
الجودة سيئ,سلبي
الجودة ممتاز للسعر,ايجابي
الصفقة متوسط,محايد
التصميم كان قوي,ايجابي
واجهة المستخدم متين,ايجابي
قد أجرب الواجهة لاحقاً,محايد
تجربة التغليف رائعة,ايجابي
المنتج ممتاز للسعر,ايجابي
المنتج غير جيد,سلبي
الواجهة سيئ جداً,سلبي
المنصة رائع,ايجابي
الشركة ممتاز للسعر,ايجابي
الواجهة متين للغاية,ايجابي
لم أجرب الاتصال بعد,محايد
الصفقة كان ممتاز جداً,ايجابي
الواجهة ممتاز للسعر,ايجابي
السعر كان فاشل,سلبي
لن أشتري المنصة مرة أخرى,سلبي
البائع متوسط,محايد
الجودة محترف,ايجابي
خدمة العملاء كان جيد,ايجابي
البائع متوسط,محايد
جودة الشركة مفيد,ايجابي
خدمة العملاء ليس سيئاً وليس ممتازاً,محايد
جودة الصفقة سيئ للغاية,سلبي
الشركة راقي بشكل كبير,ايجابي
جودة الشحن مزعج,سلبي
البائع طبيعي,محايد
خدمة الصفقة ممتازة,ايجابي
جودة التطبيق فعّال,ايجابي
جودة التصنيع ممتاز للسعر,ايجابي
التغليف ممتاز للسعر,ايجابي
التحديث رديء,سلبي
المنتج غير جيد,سلبي
الاتصال مقبول بشكل عام,محايد
خدمة العملاء عادي,محايد
المنتج أسوأ من المتوقع,سلبي
جودة السرعة سيئ جداً,سلبي
لا أستطيع الحكم على البائع الآن,محايد
الشحن مقبول بشكل عام,محايد
الدعم ليس سيئاً وليس ممتازاً,محايد
جودة التحديث مزعج,سلبي
أحببت الدعم,ايجابي
المنتج ممتاز للسعر,ايجابي
الاتصال كان لا بأس,محايد
الجودة كان مذهل,ايجابي
الحزمة قوي تماماً,ايجابي
خدمة العملاء كان سيئ,سلبي
زمن التسليم كان طبيعي,محايد
السرعة ليس جيداً,سلبي
المتجر كان مناسب,محايد
التحديث غير جيد,سلبي
التغليف ليس جيداً,سلبي
التحديث أفضل من المتوقع,ايجابي
الجودة كان سيئ,سلبي
البطارية بطيء تماماً,سلبي
جودة الدعم مذهل,ايجابي
جودة الشركة جميل,ايجابي
لم أجرب الشركة بعد,محايد
التصميم مقبول بشكل عام,محايد
التصميم كان مقبول,محايد
المنتج ممتاز جداً,ايجابي
جودة السرعة خيالي,ايجابي
البائع كان فاشل,سلبي
الاتصال ممتاز,ايجابي
المنتج مفيد مرة,ايجابي
الواجهة كان مناسب,محايد
البائع كان جيد,ايجابي
تجربة البائع سيئة,سلبي
الشركة ممتاز للسعر,ايجابي
المنصة محترف مرة,ايجابي
الحزمة كان مفيد,ايجابي
التحديث كارثي,سلبي
تجربة التغليف متوسطة,محايد
واجهة المستخدم مقبول,محايد
الحزمة ليس جيداً,سلبي
تجربة السعر رائعة,ايجابي
التطبيق رديء,سلبي
خدمة العملاء كان غير جيد,سلبي
التطبيق مقبول,محايد
الجودة كان عادي,محايد
جودة الصفقة جميل,ايجابي
التصميم يستحق السعر,ايجابي
التصميم عادي,محايد
المنتج لا بأس,محايد
السرعة مناسب,محايد
لم أجرب خدمة العملاء بعد,محايد
الجودة عادي,محايد
المنصة مقبول بشكل عام,محايد
المنصة سريع قوي,ايجابي
الخدمة طبيعي,محايد
السرعة متين مرة,ايجابي
زمن التسليم غير جيد,سلبي
البطارية كان مخيّب,سلبي
جودة التصنيع سيئ,سلبي
الخدمة مقبول بشكل عام,محايد
الجودة معقّد,سلبي
لا أستطيع الحكم على خدمة العملاء الآن,محايد
الشحن جميل,ايجابي
التجربة كان معقّد,سلبي
البطارية ممتاز للسعر,ايجابي
زمن التسليم كان متوسط,محايد
جودة خدمة العملاء جيد,ايجابي
المتجر أسوأ من المتوقع,سلبي
لا أستطيع الحكم على واجهة المستخدم الآن,محايد
السعر ليس جيداً,سلبي
جودة التصنيع بطيء,سلبي
الدعم فعّال جداً,ايجابي
جودة واجهة المستخدم رديء,سلبي
واجهة المستخدم كان بطيء,سلبي
جودة التحديث مذهل,ايجابي
البائع مقبول بشكل عام,محايد
الشحن كان معقّد,سلبي
التحديث سيئ,سلبي
المنتج مقبول بشكل عام,محايد
واجهة المستخدم طبيعي,محايد
لم أجرب زمن التسليم بعد,محايد
خدمة التغليف ممتازة,ايجابي
سعيد بـ الدعم,ايجابي
التجربة كان لا بأس,محايد
أداء التصميم ممتاز,ايجابي
خدمة العملاء كان متوسط,محايد
الحزمة مقبول بشكل عام,محايد
التجربة سريع,ايجابي
الشحن ليس جيداً,سلبي
جودة الحزمة ممتاز,ايجابي
الصفقة كان مناسب,محايد
الواجهة طبيعي,محايد
لم أجرب خدمة العملاء بعد,محايد
الشحن عادي,محايد
البطارية مقبول,محايد
لا أستطيع الحكم على السرعة الآن,محايد
التطبيق مخيّب,سلبي
الصفقة متوسط,محايد
الاتصال كان جيد,ايجابي
الدعم ليس جيداً,سلبي
الجودة مناسب,محايد
زمن التسليم راقي تماماً,ايجابي
زمن التسليم راقي,ايجابي
المنتج سيئ بشكل كبير,سلبي
المنصة يستحق السعر,ايجابي
تجربة السعر متوسطة,محايد
الشحن رائع مرة,ايجابي
الخدمة فاشل تماماً,سلبي
البائع كارثي بشكل كبير,سلبي
واجهة المستخدم ممتاز للسعر,ايجابي
الشركة مريح تماماً,ايجابي
الشركة ممتاز للسعر,ايجابي
المتجر كان مناسب,محايد
الحزمة غير مُرضٍ قوي,سلبي
التجربة ليس جيداً,سلبي
السرعة كان طبيعي,محايد
جودة المنصة راقي,ايجابي
لا أنصح بـ المتجر,سلبي
الشركة عادي,محايد
جودة جودة التصنيع مذهل,ايجابي
التجربة كان بطيء,سلبي
الشحن كان لا بأس,محايد
السرعة مفيد,ايجابي
خدمة العملاء ليس جيداً,سلبي
التحديث كان سيء,سلبي
الشحن ليس جيداً,سلبي
المنصة ليس جيداً,سلبي
السعر متوسط,محايد
الجودة كان مريح,ايجابي
زمن التسليم ليس جيداً,سلبي
واجهة المستخدم مذهل,ايجابي
جودة التصنيع مقبول بشكل عام,محايد
الحزمة مليء بالمشاكل,سلبي
تجربة الاتصال متوسطة,محايد
الواجهة مقبول بشكل عام,محايد
جودة واجهة المستخدم مزعج,سلبي
جودة التصنيع طبيعي,محايد
واجهة المستخدم جيد,ايجابي
جودة الصفقة فاشل,سلبي
السعر كان مفيد,ايجابي
الشحن كان ممتاز,ايجابي
التحديث ممتاز للسعر,ايجابي
جودة جودة التصنيع فاشل,سلبي
جودة الاتصال سئ,سلبي
التجربة يسبب مشاكل,سلبي
التحديث ليس جيداً,سلبي
المنتج مقبول بشكل عام,محايد
الواجهة ليس جيداً,سلبي
الاتصال لا بأس,محايد
الخدمة رديء,سلبي
الخدمة كان عادي,محايد
تجربة التصميم سيئة,سلبي
زمن التسليم كان قوي,ايجابي
جودة المنتج سريع,ايجابي
الحزمة متوسط,محايد
المتجر مقبول بشكل عام,محايد
خدمة العملاء مقبول بشكل عام,محايد
زمن التسليم مزعج بشكل كبير,سلبي
الشركة سيء,سلبي
جودة السعر ممتاز,ايجابي
الشحن مقبول بشكل عام,محايد
الحزمة سئ للغاية,سلبي
الحزمة عادي,محايد
الدعم معقّد,سلبي
الشركة أسوأ من المتوقع,سلبي
التطبيق رديء,سلبي
جودة زمن التسليم معقّد,سلبي
واجهة المستخدم غير جيد,سلبي
الواجهة كان طبيعي,محايد
السعر ليس جيداً,سلبي
التغليف كان عادي,محايد
أكره التصميم,سلبي
المنصة يستحق السعر,ايجابي
المتجر طبيعي,محايد
المنصة ليس جيداً,سلبي
الواجهة ممتاز للسعر,ايجابي
جودة التصنيع ممتاز قوي,ايجابي
الدعم مقبول بشكل عام,محايد
جودة جودة التصنيع غير مُرضٍ,سلبي
ندمت على شراء الصفقة,سلبي
جودة الدعم مخيّب,سلبي
تجربة الخدمة متوسطة,محايد
المتجر غير جيد,سلبي
جودة المنتج مفيد,ايجابي
البائع عادي,محايد
المنتج ليس جيداً,سلبي
البطارية كان سيئ,سلبي
الشركة كان متوسط,محايد
السعر مقبول بشكل عام,محايد
خدمة العملاء كان غير مُرضٍ,سلبي
جودة التصنيع ممتاز للسعر,ايجابي
جودة التحديث فعّال,ايجابي
قد أجرب التحديث لاحقاً,محايد
خدمة العملاء كان مقبول,محايد
السعر كان مزعج,سلبي
أحببت التغليف,ايجابي
جودة الخدمة مزعج,سلبي
واجهة المستخدم غير جيد,سلبي
الصفقة خيالي,ايجابي
الدعم جميل تماماً,ايجابي
المنتج غير مُرضٍ,سلبي
لم أجرب المنصة بعد,محايد
البطارية ليس سيئاً وليس ممتازاً,محايد
المنتج مليء بالمشاكل,سلبي
السعر ليس سيئاً وليس ممتازاً,محايد
جودة التصنيع ممتاز للسعر,ايجابي
السرعة ممتاز للسعر,ايجابي
التصميم غير مُرضٍ,سلبي
جودة التطبيق معقّد,سلبي
المتجر مذهل,ايجابي
الدعم لا بأس,محايد
الاتصال رائع كتير,ايجابي
جودة خدمة العملاء مزعج,سلبي
البائع مفيد,ايجابي
البطارية ضعيف,سلبي
أحببت التجربة,ايجابي
التصميم راقي جداً,ايجابي
المنتج غير مُرضٍ,سلبي
التجربة مقبول بشكل عام,محايد
جودة التصنيع كان ضعيف,سلبي
الدعم ممتاز للسعر,ايجابي
خدمة العملاء كان رائع,ايجابي
جودة زمن التسليم قوي,ايجابي
الدعم ليس جيداً,سلبي
الواجهة غير جيد,سلبي
الشحن كان متين,ايجابي
لن أشتري المتجر مرة أخرى,سلبي
البطارية غير جيد,سلبي
التجربة كان معقّد,سلبي
الخدمة كان لا بأس,محايد
البطارية رائع للغاية,ايجابي
البائع ممتاز للسعر,ايجابي
خدمة العملاء كان عادي,محايد
الجودة ليس جيداً,سلبي
المنصة ممتاز للسعر,ايجابي
واجهة المستخدم ليس سيئاً وليس ممتازاً,محايد
البائع متوسط,محايد
التجربة مذهل كتير,ايجابي
جودة التصنيع رديء,سلبي
المتجر ممتاز للسعر,ايجابي
المنتج مقبول بشكل عام,محايد
الشركة كان طبيعي,محايد
البطارية مقبول,محايد
التغليف غير جيد,سلبي
الشركة متين كتير,ايجابي
الواجهة أفضل من المتوقع,ايجابي
الخدمة ضعيف للغاية,سلبي
البطارية سيء مرة,سلبي
المنتج كان لا بأس,محايد
سأشتري السعر مرة أخرى,ايجابي
المنصة كان سيء,سلبي
الشحن ممتاز للسعر,ايجابي
الدعم غير جيد تماماً,سلبي
التحديث ليس جيداً,سلبي
قد أجرب البطارية لاحقاً,محايد
الواجهة غير جيد,سلبي
التصميم غير مُرضٍ,سلبي
التغليف كان مناسب,محايد
الحزمة كان مذهل,ايجابي
البائع مريح قوي,ايجابي
جودة خدمة العملاء مذهل,ايجابي
الشحن عادي,محايد
خدمة العملاء ممتاز للسعر,ايجابي
الواجهة ممتاز للسعر,ايجابي
الدعم مقبول بشكل عام,محايد
الشركة محترف قوي,ايجابي
تجربة خدمة العملاء رائعة,ايجابي
جودة التحديث سيئ جداً,سلبي
التطبيق مقبول بشكل عام,محايد
تجربة التحديث متوسطة,محايد
التصميم متوسط,محايد
الحزمة جميل,ايجابي
الخدمة قوي,ايجابي
السرعة مناسب,محايد
زمن التسليم كان رائع,ايجابي
قد أجرب السعر لاحقاً,محايد
الحزمة كان سريع,ايجابي
التغليف متوسط,محايد
الواجهة غير جيد,سلبي
السعر غير جيد,سلبي
الشحن كارثي,سلبي
التصميم سيء تماماً,سلبي
المنتج كان عادي,محايد
خدمة العملاء ممتاز للسعر,ايجابي
التجربة مناسب,محايد
البطارية ممتاز للسعر,ايجابي
التحديث مقبول بشكل عام,محايد
التجربة كان عادي,محايد
الشركة فعّال,ايجابي
السرعة مخيّب,سلبي
البائع ليس جيداً,سلبي
لم أجرب الدعم بعد,محايد
التغليف جيد,ايجابي
الشركة يستحق السعر,ايجابي
التصميم غير جيد,سلبي
الواجهة طبيعي,محايد
الحزمة كان مناسب,محايد
الشركة جميل تماماً,ايجابي
التجربة رديء,سلبي
الحزمة ممتاز كتير,ايجابي
لا أستطيع الحكم على المنتج الآن,محايد
ندمت على شراء الصفقة,سلبي
الشركة ليس جيداً,سلبي
الشركة مقبول بشكل عام,محايد
الشحن كان مقبول,محايد
المتجر غير جيد,سلبي
المنصة كان محترف,ايجابي
جودة الاتصال خيالي,ايجابي
الشركة جيد,ايجابي
البائع كان مناسب,محايد
جودة المنصة فعّال,ايجابي
جودة الاتصال مزعج,سلبي
الصفقة ممتاز للسعر,ايجابي
السرعة مذهل بشكل كبير,ايجابي
جودة واجهة المستخدم سيئ للغاية,سلبي
التجربة مخيّب,سلبي
قد أجرب الدعم لاحقاً,محايد
التطبيق مقبول بشكل عام,محايد
البائع ليس جيداً,سلبي
واجهة المستخدم مقبول بشكل عام,محايد
جودة التصنيع مقبول بشكل عام,محايد
التصميم ممتاز للسعر,ايجابي
لا أستطيع الحكم على السعر الآن,محايد
لا أستطيع الحكم على التصميم الآن,محايد
التحديث مفيد,ايجابي
جودة التصنيع ليس جيداً,سلبي
الجودة كان مقبول,محايد
المتجر ليس جيداً,سلبي
الاتصال كان مناسب,محايد
الشحن ليس جيداً,سلبي
الجودة أسوأ من المتوقع,سلبي
البائع ليس جيداً,سلبي
جودة التطبيق جيد,ايجابي
السرعة كان فعّال,ايجابي
تجربة التغليف سيئة,سلبي
خدمة العملاء كان جيد,ايجابي
التجربة كان سيء,سلبي
السرعة ممتاز للسعر,ايجابي
زمن التسليم كان متوسط,محايد
الخدمة مقبول,محايد
التغليف مريح بشكل كبير,ايجابي
الدعم غير جيد,سلبي
سأشتري التطبيق مرة أخرى,ايجابي
زمن التسليم كان متوسط,محايد
السرعة غير جيد,سلبي
الواجهة كان مزعج,سلبي
الشحن يسبب مشاكل,سلبي
لا أستطيع الحكم على التجربة الآن,محايد
التحديث عادي,محايد
الخدمة كان لا بأس,محايد
الشحن فاشل,سلبي
جودة الصفقة فاشل,سلبي
التطبيق ليس جيداً,سلبي
السرعة مقبول بشكل عام,محايد
جودة الدعم سريع,ايجابي
المنتج راقي جداً,ايجابي
البائع جيد,ايجابي
زمن التسليم غير جيد,سلبي
لم أجرب التحديث بعد,محايد
جودة الشركة محترف,ايجابي
جودة التصميم سريع,ايجابي
المنصة كان راقي,ايجابي
التصميم كان فعّال,ايجابي
السعر رديء بشكل كبير,سلبي
جودة الشركة سئ,سلبي
جودة المنتج معقّد,سلبي
الشحن سريع,ايجابي
المنصة مناسب,محايد
الواجهة ليس سيئاً وليس ممتازاً,محايد
الشحن مناسب,محايد
سعيد بـ الحزمة,ايجابي
الجودة كان عادي,محايد
التجربة مريح,ايجابي
التجربة ممتاز جداً جداً,ايجابي
لا أستطيع الحكم على المنتج الآن,محايد
الصفقة ممتاز للسعر,ايجابي
التغليف مذهل,ايجابي
زمن التسليم مقبول بشكل عام,محايد
الواجهة ليس جيداً,سلبي
التغليف عادي,محايد
السعر ليس سيئاً وليس ممتازاً,محايد
التطبيق مذهل للغاية,ايجابي
المنتج كان ممتاز,ايجابي
الخدمة رائع,ايجابي
خدمة العملاء غير جيد,سلبي
الحزمة فعّال,ايجابي
المتجر سيئ جداً إلى حدٍّ كبير,سلبي
المنصة مقبول بشكل عام,محايد
الخدمة يعمل كما يجب,ايجابي
الصفقة ليس جيداً,سلبي
أداء المنصة ممتاز,ايجابي
التصميم ليس جيداً,سلبي
جودة الشركة معقّد,سلبي
التجربة مفيد,ايجابي
خدمة العملاء مناسب,محايد
المتجر كان مناسب,محايد
جودة الحزمة قوي,ايجابي
التجربة بطيء جداً,سلبي
المنصة كان مناسب,محايد
جودة الواجهة جميل,ايجابي
جودة المتجر مذهل,ايجابي
التصميم لا بأس,محايد
التصميم سيء تماماً,سلبي
جودة التحديث قوي,ايجابي
زمن التسليم مقبول بشكل عام,محايد
البائع سريع,ايجابي
قد أجرب الصفقة لاحقاً,محايد
الشحن مقبول بشكل عام,محايد
السرعة مقبول بشكل عام,محايد
الاتصال غير جيد,سلبي
واجهة المستخدم ليس جيداً,سلبي
جودة واجهة المستخدم رديء,سلبي
المنصة كان ممتاز,ايجابي
المنصة ممتاز للسعر,ايجابي
الخدمة مذهل كتير,ايجابي
التغليف كان مذهل,ايجابي
التجربة معقّد,سلبي
الدعم طبيعي,محايد
المتجر عادي,محايد
واجهة المستخدم غير جيد,سلبي
الخدمة عادي,محايد
زمن التسليم كان مناسب,محايد
الحزمة سريع,ايجابي
الحزمة سيء,سلبي
المتجر مقبول بشكل عام,محايد
قد أجرب الشحن لاحقاً,محايد
الاتصال مقبول بشكل عام,محايد
جودة جودة التصنيع ضعيف,سلبي
الدعم كان مناسب,محايد
البطارية مريح,ايجابي
الواجهة مفيد إلى حدٍّ كبير,ايجابي
واجهة المستخدم يعمل كما يجب,ايجابي
الشركة سيئ للغاية إلى حدٍّ كبير,سلبي
التغليف كان جميل,ايجابي
الشركة مقبول بشكل عام,محايد
البائع ممتاز للسعر,ايجابي
المنتج كان ممتاز جداً,ايجابي
جودة الشحن سيئ للغاية,سلبي
السرعة عادي,محايد
التجربة لا بأس,محايد
جودة التجربة مذهل,ايجابي
قد أجرب التصميم لاحقاً,محايد
الشركة قوي,ايجابي
المنتج ممتاز للسعر,ايجابي
المنصة رديء,سلبي
التطبيق سئ قوي,سلبي
البائع سيئ للغاية قوي,سلبي
التحديث كان مناسب,محايد
التجربة كان خيالي,ايجابي
الجودة مليء بالمشاكل,سلبي
الخدمة سئ,سلبي
زمن التسليم مناسب,محايد
المنتج يعلّق كثيراً,سلبي
الدعم ليس جيداً,سلبي
الخدمة مقبول بشكل عام,محايد
البطارية ليس جيداً,سلبي
جودة الحزمة ضعيف,سلبي
الواجهة متوسط,محايد
التغليف كان سيئ للغاية,سلبي
البطارية مقبول بشكل عام,محايد
خدمة العملاء غير جيد,سلبي
المنصة راقي جداً,ايجابي
المتجر محترف مرة,ايجابي
الشحن كان قوي,ايجابي
الشحن غير جيد,سلبي
الشركة رائع قوي,ايجابي
الدعم كان راقي,ايجابي
التغليف طبيعي,محايد
البائع غير جيد,سلبي
الاتصال كان مزعج,سلبي
التحديث بطيء تماماً,سلبي
التحديث مقبول بشكل عام,محايد
التجربة قوي,ايجابي
جودة المتجر غير مُرضٍ,سلبي
الجودة مقبول بشكل عام,محايد
البائع مقبول بشكل عام,محايد
قد أجرب التغليف لاحقاً,محايد
جودة التصنيع ممتاز للسعر,ايجابي
الصفقة يسبب مشاكل,سلبي
السعر ممتاز للسعر,ايجابي
البطارية كان رائع,ايجابي
جودة السرعة فعّال,ايجابي
الجودة مقبول بشكل عام,محايد
أنصح بـ الاتصال,ايجابي
الخدمة كان لا بأس,محايد
تجربة البطارية متوسطة,محايد
زمن التسليم كان عادي,محايد
الشركة غير جيد,سلبي
الجودة كان طبيعي,محايد
جودة المتجر مفيد,ايجابي
التغليف فعّال,ايجابي
جودة التصنيع راقي,ايجابي
البائع ممتاز جداً,ايجابي
تجربة التجربة رائعة,ايجابي
